ligando_rdkt3d11,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex
lig_6654,0.9399673565983141,247.82019655642023,376.97446050332036,432.07338260665983,0.5735604333258005,0.8724778606566027,1.9694558740195018,0.0035206083797047153,0.8191632494949465,0.0960920152250297,0.6183832721327697
lig_6987,0,0,0,0,0,0,0,0,0,0,0
lig_7127,0.6695046004843088,441.90724919924037,914.0102456669603,1220.28348948351,0.36213490800099196,0.7490146785922825,2.688334163934077,0.0016949590212641619,0.932125693459371,0.27801124348807194,0.2312097609569211
lig_7150,0.1181530670738016,140.6708217027095,613.7154482168006,751.1549261806199,0.18727271405643997,0.8170291198612587,2.351378273984718,0.005808092324845798,0.9823079611659139,0.5429603203765189,0.03190218976980288
lig_7461,0.8394319723518932,172.77669007091882,663.7130299419831,698.0206207423714,0.24752376210199098,0.9508501757958083,2.373125916076928,0.0055033475604001755,0.968881823131633,0.4400321485128848,0.37545777427573773
lig_7794,0.8616967531996099,248.03767378448427,990.4612598241484,1071.4153251006337,0.23150469101343785,0.9244419382662072,2.736315196820441,0.003727022287224961,0.9728337874677115,0.46318053837734297,0.3386556252273766
lig_7843,0.5595833970299152,22.659130151135717,131.68359562072354,141.08580735218453,0.16060531230170452,0.9333582030119388,1.5941657496773856,0.04119126360043248,0.9870187098836941,0.5957883570292308,0.3578492792875474
lig_8363,0.7834090669524365,405.1945164007519,2158.6930134827835,2311.7109756477103,0.17527905550010286,0.9338074855477756,3.268108231090248,0.002304590629316924,0.9845187924580169,0.5664756192885264,0.18108923420327316
lig_8742,0,0,0,0,0,0,0,0,0,0,0
lig_8785,0.8427533365782716,215.97916957944474,750.0400756671843,800.5871943185961,0.269775948344104,0.9368624442033026,2.4252314672282145,0.004337744450205841,0.9629231213835503,0.4034367942850342,0.40941614556357786
lig_10248,0.7479855331997626,742.9526035914431,1085.285389236681,1684.6842443061742,0.4410040671434089,0.6442070037187584,2.904152823921357,0.00086709031047829,0.8975051045888105,0.22094982498399174,0.19704557004040432
lig_10465,0,0,0,0,0,0,0,0,0,0,0
lig_10659,0.7664391836974139,815.6131270352975,1096.9159734631044,1737.557036464187,0.46940221812517646,0.6312978224273176,2.8656651662778407,0.0007740162602851249,0.8829844605762688,0.20108382265522948,0.24812497966732672
lig_11005,0,0,0,0,0,0,0,0,0,0,0
lig_11142,0,0,0,0,0,0,0,0,0,0,0
lig_11230,0.803927116744158,222.3606475767939,693.3208664473442,733.427916906667,0.3031799614536497,0.9453156206154795,2.3120271530160537,0.004251272115444833,0.9529333192689631,0.3563822940228847,0.35703142190763704
lig_11463,0.6575476240158066,191.8897412265057,598.1981926757105,713.0788147544049,0.26910032559668096,0.8388949163799502,2.3487643828040654,0.004371754899547875,0.9631121506676988,0.39824750569818257,0.2588642312452703
lig_12391,0.7183255567719786,192.91796541942048,4796.760942354813,4839.125105362937,0.03986629012868878,0.9912454912642837,4.809906291004655,0.005138170979095854,0.9992050234618396,0.8857560930305448,0.09572971984179074
lig_13849,0,0,0,0,0,0,0,0,0,0,0
lig_14529,0.4692543119106012,187.0112307420848,763.2880572295213,852.3766024792429,0.21939977024021948,0.8954821788976884,2.449505974207883,0.0047883871751674975,0.9756350448905261,0.48174120172471785,0.16105070723381637
lig_14896,0.9364289729357538,246.11412078271496,384.9730591021936,427.83332413654165,0.5752570145848864,0.8998201808593355,1.9713673129125175,0.0036561095234911504,0.817972717864651,0.09656660293269269,0.6667226748367081
lig_17100,0.6154553821033618,210.9354438706752,751.635611852627,846.2228851845952,0.2492670046670526,0.888224160575219,2.4213788231175286,0.004210881510836986,0.9684347992427345,0.4308988624361513,0.23792311072791336
lig_17868,0.849056032453045,187.37645162646103,574.6441601218313,601.0250847984224,0.31176144950639645,0.9561067826554377,2.2366142131093354,0.005102598402073794,0.950160406774388,0.3463895112179294,0.43843224117469587
lig_18818,0.8336293715424533,199.87312085188742,532.4242214061761,570.0358599648974,0.3506325389146492,0.9340188202176659,2.1862354332637874,0.0046730586696037265,0.9365131193177525,0.2936495114466871,0.4742383565621893
lig_22311,0.5976097448569052,161.83571803850276,644.3429555998135,751.1823369893984,0.21544132505446115,0.8577717071759466,2.3907299447902055,0.005300262003792463,0.976516787084983,0.4878072342381141,0.21331749319090829
lig_26447,0.688509095192815,246.5061814382442,651.7295868126083,807.0529953558938,0.3054398941045254,0.8075424917111037,2.3510786504680388,0.003275952298638048,0.9522113584123097,0.3456275186911705,0.2785951380810643
lig_27867,0.8993722221327326,557.3042101265153,934.7320234373826,1238.411021778623,0.4500155443756526,0.7547833530219293,2.623819592528964,0.001354347121925714,0.8930207219433852,0.18740365152971608,0.37237907772003703
lig_31225,0.72702882117827,180.12953405292404,1951.3115323322538,1956.0666026318315,0.09208762820783552,0.997569065238791,3.3862784789459157,0.005538064984644296,0.9957509069697378,0.7530723702329729,0.15531884986754593
lig_31253,0,0,0,0,0,0,0,0,0,0,0
lig_61290,0.8700676008620748,316.7278082904489,1473.5966681226887,1540.8420747811613,0.20555501013005,0.9563580150366655,3.006389543548582,0.00301949494172503,0.9786455629135785,0.5121037373305511,0.3100298598748993
lig_62566,0.9262069624272653,498.74312962889013,1066.7151186159626,1307.5165243383792,0.38144307956739654,0.8158329923636986,2.6512833785817986,0.0016357779062956754,0.9243923285327181,0.25071332722685613,0.4058552164089477
lig_64685,1.1213246809834743,330.0593109779831,424.68678632323457,453.7793116147955,0.7273564539631636,0.9358883833023727,1.9792291812192015,0.002835515776026091,0.6862598552138484,0.03438109410904271,0.894212207304246
lig_68071,0.9319710925521316,629.082660382777,2268.1111827855034,2565.155447203292,0.24524153538868218,0.8842002870657812,3.264651799772935,0.0014055391171134382,0.9694620102511504,0.43724039529218056,0.3021390132361445
lig_68213,0.7197383286749274,566.7945708222305,2575.8892823320157,2929.9667090479365,0.1934474439835546,0.8791530887970482,3.4028572094499916,0.0015510965243045454,0.9811106392330223,0.5285892297774838,0.17057339827575757
lig_73571,1.0677195485301139,991.5228479119894,2687.3081952179837,3041.537750082722,0.3259939311570348,0.8835360321090526,3.4259717348000764,0.0008910899370293462,0.9453718616760193,0.3190076267347889,0.33357692245437653
lig_75699,0.8993722221327326,557.3042101265153,934.7320234373826,1238.411021778623,0.4500155443756526,0.7547833530219293,2.623819592528964,0.001354347121925714,0.8930207219433852,0.18740365152971608,0.37237907772003703
